JPM BAC WFC GS MS C SCHW BLK SPGI AXP JNJ PFE MRK ABBV UNH LLY TMO ABT BMY CVS XOM CVX COP SLB OXY KO PG PEP WMT HD MCD NKE DIS COST LOW BA CAT GE HON UPS RTX LMT MMM DE V MA IBM ORCL CSCO T VZ
204.94 41.59 56.54 479.88 104.09 64.52 75.38 827.97 452.53 238.63 149.88 28.92 127.76 170.28 511.53 948.40 548.09 104.22 40.46 59.00 113.27 155.59 113.14 46.42 61.20 63.70 166.61 166.38 69.24 359.77 253.90 73.42 97.13 842.90 234.08 182.31 335.59 159.01 212.63 142.35 101.28 463.73 104.04 365.33 265.74 440.11 182.83 144.77 47.38 18.81 41.43
210.05 41.89 57.73 492.23 105.26 65.14 75.07 822.96 456.53 244.00 149.24 29.10 128.12 168.03 515.37 950.46 544.68 102.96 40.15 58.67 115.21 158.04 114.57 47.96 62.00 63.41 164.58 163.86 69.61 358.46 251.53 71.31 96.87 848.73 232.17 179.11 345.77 159.56 213.23 144.15 101.62 463.88 102.72 371.67 268.45 444.00 182.88 143.07 47.40 18.58 40.79
213.62 44.13 60.24 503.02 106.22 67.27 67.43 843.94 462.43 249.63 151.01 29.50 125.44 169.20 548.87 941.60 555.42 102.72 41.20 60.06 116.04 157.77 115.19 48.72 62.12 64.27 166.95 164.76 69.99 369.12 257.27 72.81 98.47 850.77 240.97 186.05 360.58 162.85 215.95 147.33 103.68 468.58 103.31 377.51 269.25 443.53 185.81 142.61 47.42 18.85 41.45
216.87 43.98 60.91 502.18 106.96 67.61 63.80 841.09 463.45 249.96 156.58 30.03 125.89 175.27 573.28 905.59 555.06 104.68 43.15 61.60 117.64 161.23 116.08 48.90 63.15 65.21 169.44 169.89 71.03 371.89 261.00 73.07 97.31 846.28 243.04 184.84 357.80 156.66 217.67 147.38 104.99 476.07 104.64 385.13 272.70 451.16 187.45 139.26 48.52 19.16 42.03
209.98 43.01 59.24 486.21 104.81 64.89 62.27 829.00 458.55 249.20 155.42 29.71 124.25 171.14 564.34 848.90 540.62 100.07 42.39 59.91 118.80 161.97 116.61 48.72 63.73 65.19 168.44 170.37 70.82 366.08 259.52 72.38 96.79 839.37 239.37 180.23 356.03 158.79 215.16 144.76 103.84 476.00 104.02 380.64 269.15 448.72 185.22 138.03 48.04 19.15 42.07
209.78 42.90 59.23 484.93 102.09 65.14 62.08 830.70 453.96 242.38 154.69 29.97 125.77 172.32 565.33 857.47 534.35 102.03 42.64 59.57 116.07 159.15 114.35 49.67 63.13 65.29 167.96 169.36 70.75 363.36 257.28 72.70 95.74 838.13 238.52 179.67 347.63 159.13 212.14 145.18 102.81 474.92 103.92 378.06 265.46 443.69 183.25 138.56 47.32 19.12 41.62
210.28 42.30 59.14 487.04 102.44 64.50 64.75 843.24 461.04 244.75 154.24 29.60 125.69 173.61 558.53 865.97 546.42 103.72 42.67 58.33 115.27 156.99 112.32 49.44 61.21 64.77 168.25 167.66 70.38 363.25 259.54 74.86 94.13 847.42 240.27 178.90 347.87 162.76 214.47 145.18 103.77 474.59 104.97 379.25 267.71 447.94 184.15 140.17 46.82 18.55 39.09
210.33 42.41 59.67 492.15 103.50 64.66 65.14 844.69 468.84 246.90 152.35 29.50 124.38 173.15 554.70 878.29 552.24 103.92 42.98 57.97 113.41 154.09 110.83 49.05 60.41 64.96 166.62 166.28 70.65 359.62 254.05 73.40 90.94 852.11 238.31 186.48 344.17 172.00 214.87 127.68 104.97 501.29 104.73 371.52 264.79 441.72 184.10 143.11 46.36 18.21 38.89
208.59 42.19 59.44 486.70 101.97 63.66 64.08 827.65 455.69 240.99 156.28 29.98 125.92 176.21 559.75 859.88 574.73 107.26 44.66 58.54 115.01 155.07 111.10 48.03 60.07 65.81 168.00 168.17 70.60 350.31 253.37 71.09 89.80 830.82 231.67 180.07 336.04 162.30 211.19 128.53 104.83 515.20 103.25 369.39 254.17 432.45 184.02 138.77 46.85 19.16 39.67
208.67 41.68 59.70 491.71 103.56 64.37 66.24 836.54 457.27 240.18 159.64 30.18 125.85 182.17 559.68 821.19 594.50 105.96 45.27 58.65 117.43 157.54 111.03 48.23 60.53 66.07 166.90 171.02 70.02 353.29 251.46 71.41 89.21 815.95 234.77 184.35 344.30 164.67 200.12 127.08 113.47 521.40 103.39 381.69 253.74 429.60 191.98 137.82 47.24 19.19 39.95
212.24 41.67 60.39 499.03 104.19 65.18 66.60 856.20 463.41 245.89 160.64 30.77 125.26 185.16 569.72 804.62 607.14 105.24 50.45 61.00 117.33 157.84 110.86 48.83 60.54 67.05 169.11 172.75 69.78 359.51 252.00 72.56 89.93 817.60 238.87 186.89 350.48 169.81 200.40 128.83 113.95 524.80 127.16 386.55 259.46 438.18 191.75 139.01 47.88 19.01 40.09
210.85 41.09 59.59 492.72 102.48 64.30 65.30 862.15 463.42 247.89 158.56 30.72 127.78 181.94 566.75 807.79 604.12 104.77 48.98 61.57 116.10 156.60 109.12 47.86 60.18 66.83 169.93 173.21 69.62 361.67 261.42 73.55 92.14 815.56 239.80 185.43 344.53 169.87 199.08 128.61 114.44 527.64 125.16 376.77 261.60 441.30 191.50 138.31 47.99 18.90 40.03
215.19 41.28 60.01 505.67 103.76 65.87 64.91 872.59 462.17 252.48 161.33 31.39 115.25 186.78 576.33 790.21 615.06 105.32 49.05 63.18 118.17 159.57 109.91 47.61 60.27 67.68 161.70 173.18 69.19 363.69 266.44 74.32 93.79 810.03 241.40 186.86 341.72 167.48 200.30 129.03 116.88 537.66 126.75 371.77 263.10 447.45 191.04 135.67 48.14 18.98 40.04
212.80 40.31 59.34 509.03 103.21 64.88 65.19 876.50 458.59 253.04 157.85 30.54 113.13 185.32 576.16 804.27 613.34 105.94 47.56 60.33 118.59 160.47 111.20 48.29 60.82 66.74 160.76 172.67 68.64 368.16 265.40 74.86 93.69 822.00 245.51 190.60 346.20 170.20 202.39 130.37 117.49 541.92 127.55 371.98 265.67 463.71 192.14 139.45 48.45 19.25 40.52
